invoice_no,transaction_date,customer_id,description,category,order_city_cleaned,order_postal,state,region,latitude,longitude,quantity,costs,profit_per_unit,baseline_shipping_cost,hypothesis_factor,hypothesis_shipping_cost,profit_before_shipping,profit_after_baseline,profit_after_hypothesis
536365,12/1/2020 08:26,17850,Dog and Puppy Pads,Disposables,heathsville,22473-2244,VA,East,379.176,-764.722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536367,12/1/2020 08:34,13047,Pet Odor Eliminator,Cleanig Supplies,orange,92869-4525,CA,West,337.873,-1.178.503,6,4,6.14,18.0,0.5,12.0,36.84,18.84,24.84
536368,12/1/2020 08:34,13047,Rechargeable Pet Nail Grinder,Grooming,orange,92869-4525,CA,West,337.873,-1.178.503,1,5,10.5,5,1.0,5,10.5,5.5,5.5
536371,12/1/2020 09:00,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,,,,,,,14,9,6.3,90.9,0.3,37.8,88.2,-2.69999999999999,50.4
536373,12/1/2020 09:02,17850,Dog and Puppy Pads,Disposables,heathsville,22473-2244,VA,East,379.176,-764.722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536376,12/1/2020 09:32,15291,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,dearborn heights,48127-2412,MI,Central,42.337,-832.733,8,5,12.7,29.5,0.4,16.0,101.6,72.1,85.6
536375,12/1/2020 09:32,17850,Dog and Puppy Pads,Disposables,heathsville,22473-2244,VA,East,379.176,-764.722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536378,12/1/2020 09:37,14688,Milk-Bone MaroSnacks Dog Treats with Real Bone,Food,fort wayne,46825,IN,Central,41.08,-851.386,2,6,3.7,10.2,0.8,9.6,7.4,-2.8,-2.2
536378,12/1/2020 09:37,14688,Pet Grooming Brush,Grooming,fort wayne,46825,IN,Central,41.08,-851.386,2,5,5.9,8.5,0.8,8.0,11.8,3.3,3.8
536381,12/1/2020 09:41,15311,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,grand blanc,48439-1908,MI,Central,42.92,-83.62,1,9,8.7,9,1.0,9,8.7,-0.300000000000001,-0.300000000000001
536384,12/1/2020 09:53,18074,NexGard Chew for Dogs,Food,seattle,98103,WA,West,476.038,-1.223.301,1,7,8.7,7,1.0,7,8.7,1.7,1.7
,12/1/2020 09:56,17420,Rechargeable Pet Nail Grinder,Grooming,amarillo,79109-3941,TX,Central,352.072,-1.018.338,1,5,10.5,5,1.0,5,10.5,5.5,5.5
536386,12/1/2020 09:57,16029,Earth Rated Dog Poop Bags,Disposables,lakewood,08701-4150,NJ,East,400.979,-742.176,17,4,4.9,48.8,0.3,20.4,83.3,34.5,62.9
536387,12/1/2020 09:58,16029,ProBiotic Supplements for Dogs,Supplements,lakewood,08701-4150,NJ,East,400.979,-742.176,32,7,0.92,158.9,0.3,67.2,29.44,-129.46,-37.76
536390,12/1/2020 10:19,17511,Dog and Puppy Pads,Disposables,dickinson,77539-3312,TX,Central,294.608,-950.513,11,5,9.3,40.0,0.3,16.5,102.3,62.3,85.8
536390,12/1/2020 10:19,17511,Earth Rated Dog Poop Bags,Disposables,dickinson,77539-3312,TX,Central,294.608,-950.513,17,4,4.9,48.8,0.3,20.4,83.3,34.5,62.9
536390,12/1/2020 10:19,17511,Rechargeable Pet Nail Grinder,Grooming,dickinson,77539-3312,TX,Central,294.608,-950.513,2,5,7.5,8.5,0.8,8.0,15.0,6.5,7.0
536392,12/1/2020 10:29,13705,Pet Odor Eliminator,Cleanig Supplies,washington,20012,DC,East,38.895,-770.366,3,4,6.14,9.6,0.6,7.2,18.42,8.82,11.22
536394,12/1/2020 10:39,13408,Dog and Puppy Pads,Disposables,paso robles,93446,CA,West,356.268,-1.206.912,6,5,9.3,22.5,0.5,15.0,55.8,33.3,40.8
536395,12/1/2020 10:47,13767,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,estero,33967-0513,FL,East,264.381,-818.068,2,5,15.7,8.5,0.8,8.0,31.4,22.9,23.4
536395,12/1/2020 10:47,13767,Pet Odor Eliminator,Cleanig Supplies,estero,33967-0513,FL,East,264.381,-818.068,6,4,6.14,18.0,0.5,12.0,36.84,18.84,24.84
536396,12/1/2020 10:51,17850,Dog and Puppy Pads,Disposables,heathsville,22473-2244,VA,East,379.176,-764.722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536398,12/1/2020 10:52,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,,,,,,,1,5,15.7,5,1.0,5,15.7,10.7,10.7
536401,12/1/2020 11:21,15862,Dog and Puppy Pads,Disposables,katonah,10536-3204,NY,East,412.588,-736.854,1,5,11.7,5,1.0,5,11.7,6.7,6.7
536401,12/1/2020 11:21,15862,Indoor Pet Camera (Wi-Fi),Electronics,katonah,10536-3204,NY,East,412.588,-736.854,1,7,-0.3,7,1.0,7,-0.3,-7.3,-7.3
536401,12/1/2020 11:21,15862,Pet Grooming Brush,Grooming,katonah,10536-3204,NY,East,412.588,-736.854,1,5,5.9,5,1.0,5,5.9,0.9,0.9
536402,12/1/2020 11:22,15513,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,independence,64057,MO,Central,390.911,-944.155,7,9,6.3,46.8,0.5,31.5,44.1,-2.7,12.6
536404,12/1/2020 11:29,16218,Sheba Perfect Portions Pat Wet Cat Food,Food,alden,14004-9493,NY,East,429.001,-78.492,6,2.5,2.6,11.25,0.5,7.5,15.6,4.35,8.1
536406,12/1/2020 11:33,17850,Dog and Puppy Pads,Disposables,heathsville,22473-2244,VA,East,379.176,-764.722,2,5,9.3,8.5,0.8,8.0,18.6,10.1,10.6
536408,12/1/2020 11:41,14307,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,ringgold,30736-4644,GA,East,349.159,-851.091,1,5,15.7,5,1.0,5,15.7,10.7,10.7
536408,12/1/2020 11:41,14307,Pet Odor Eliminator,Cleanig Supplies,ringgold,30736-4644,GA,East,349.159,-851.091,2,4,6.14,6.8,0.8,6.4,12.28,5.48,5.88
536409,12/1/2020 11:45,17908,Earth Rated Dog Poop Bags,Disposables,virginia beach,23455,VA,East,36.853,-759.774,1,4,6.7,4,1.0,4,6.7,2.7,2.7
536412,12/1/2020 11:49,17920,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,windsor,23487-8912,VA,East,368.085,-767.441,1,9,8.7,9,1.0,9,8.7,-0.300000000000001,-0.300000000000001
536412,12/1/2020 11:49,17920,Pet Grooming Brush,Grooming,windsor,23487-8912,VA,East,368.085,-767.441,1,5,5.9,5,1.0,5,5.9,0.9,0.9
536412,12/1/2020 11:49,17920,Sheba Perfect Portions Pat Wet Cat Food,Food,windsor,23487-8912,VA,East,368.085,-767.441,1,2.5,2.6,2.5,1.0,2.5,2.6,0.1,0.1
536415,12/1/2020 11:57,12838,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,hacienda heights,91745-5934,CA,West,339.931,-1.179.687,1,9,8.7,9,1.0,9,8.7,-0.300000000000001,-0.300000000000001
536425,12/1/2020 12:08,13758,ProBiotic Supplements for Dogs,Supplements,doral,33178-2370,FL,East,258.195,-803.553,2,7,7.7,11.9,0.8,11.2,15.4,3.5,4.2
